"","location_name","wk_end_date","value"
"1","Alabama",2022-09-03,21
"2","Alabama",2022-09-10,11
"3","Alabama",2022-09-17,17
"4","Alabama",2022-09-24,20
"5","Alabama",2022-10-01,24
"6","Alabama",2022-10-08,41
"7","Alabama",2022-10-15,86
"8","Alabama",2022-10-22,141
"9","Alabama",2022-10-29,262
"10","Alabama",2022-11-05,360
"11","Alabama",2022-11-12,303
"12","Alabama",2022-11-19,226
"13","Alabama",2022-11-26,261
"14","Alabama",2022-12-03,351
"15","Alabama",2022-12-10,223
"16","Alabama",2022-12-17,142
"17","Alabama",2022-12-24,122
"18","Alabama",2022-12-31,127
"19","Alabama",2023-01-07,124
"20","Alabama",2023-01-14,92
"21","Alabama",2023-01-21,58
"22","Alabama",2023-01-28,44
"23","Alaska",2022-09-03,0
"24","Alaska",2022-09-10,5
"25","Alaska",2022-09-17,0
"26","Alaska",2022-09-24,0
"27","Alaska",2022-10-01,2
"28","Alaska",2022-10-08,3
"29","Alaska",2022-10-15,2
"30","Alaska",2022-10-22,3
"31","Alaska",2022-10-29,14
"32","Alaska",2022-11-05,10
"33","Alaska",2022-11-12,20
"34","Alaska",2022-11-19,38
"35","Alaska",2022-11-26,66
"36","Alaska",2022-12-03,58
"37","Alaska",2022-12-10,77
"38","Alaska",2022-12-17,50
"39","Alaska",2022-12-24,44
"40","Alaska",2022-12-31,55
"41","Alaska",2023-01-07,32
"42","Alaska",2023-01-14,8
"43","Alaska",2023-01-21,10
"44","Alaska",2023-01-28,3
"45","Arizona",2022-09-03,16
"46","Arizona",2022-09-10,5
"47","Arizona",2022-09-17,7
"48","Arizona",2022-09-24,9
"49","Arizona",2022-10-01,10
"50","Arizona",2022-10-08,18
"51","Arizona",2022-10-15,14
"52","Arizona",2022-10-22,22
"53","Arizona",2022-10-29,34
"54","Arizona",2022-11-05,84
"55","Arizona",2022-11-12,153
"56","Arizona",2022-11-19,339
"57","Arizona",2022-11-26,612
"58","Arizona",2022-12-03,821
"59","Arizona",2022-12-10,759
"60","Arizona",2022-12-17,563
"61","Arizona",2022-12-24,609
"62","Arizona",2022-12-31,655
"63","Arizona",2023-01-07,347
"64","Arizona",2023-01-14,139
"65","Arizona",2023-01-21,109
"66","Arizona",2023-01-28,48
"67","Arkansas",2022-09-03,8
"68","Arkansas",2022-09-10,6
"69","Arkansas",2022-09-17,4
"70","Arkansas",2022-09-24,8
"71","Arkansas",2022-10-01,10
"72","Arkansas",2022-10-08,21
"73","Arkansas",2022-10-15,40
"74","Arkansas",2022-10-22,50
"75","Arkansas",2022-10-29,84
"76","Arkansas",2022-11-05,141
"77","Arkansas",2022-11-12,212
"78","Arkansas",2022-11-19,218
"79","Arkansas",2022-11-26,435
