"","model"
"1","CADPH-FluCAT_Ensemble"
"2","CEPH-Rtrend_fluH"
"3","CMU-TimeSeries"
"4","CU-ensemble"
"5","Flusight-baseline"
"6","GT-FluFNP"
"7","ISU_NiemiLab-Flu"
"8","JHU_IDD-CovidSP"
"9","LosAlamos_NAU-CModel_Flu"
"10","LUcompUncertLab-ensemble_rclp"
"11","LUcompUncertLab-hier_mech_model"
"12","LUcompUncertLab-humanjudgment"
"13","LUcompUncertLab-KalmanFilter"
"14","MIGHTE-Nsemble"
"15","MOBS-GLEAM_FLUH"
"16","NIH-Flu_ARIMA"
"17","PSI-DICE"
"18","SGroup-RandomForest"
"19","SigSci-CREG"
"20","SigSci-TSENS"
"21","UGA_flucast-OKeeffe"
"22","UGuelph-FluPLUG"
"23","UMass-gbq"
"24","UMass-trends_ensemble"
"25","UNC_IDD-InfluPaint"
"26","UVAFluX-Ensemble"
"27","VTSanghani-ExogModel"
