"","model"
"1","CADPH-FluCAT_Ensemble"
"2","CEID-Walk"
"3","CEPH-Rtrend_fluH"
"4","CMU-TimeSeries"
"5","CU-ensemble"
"6","Flusight-baseline"
"7","GT-FluFNP"
"8","ISU_NiemiLab-Flu"
"9","JHU_IDD-CovidSP"
"10","LosAlamos_NAU-CModel_Flu"
"11","LUcompUncertLab-hier_mech_model"
"12","LUcompUncertLab-humanjudgment"
"13","MIGHTE-Nsemble"
"14","MOBS-GLEAM_FLUH"
"15","NIH-Flu_ARIMA"
"16","PSI-DICE"
"17","SGroup-RandomForest"
"18","SigSci-CREG"
"19","SigSci-TSENS"
"20","UGA_flucast-OKeeffe"
"21","UMass-gbq"
"22","UMass-trends_ensemble"
"23","UVAFluX-Ensemble"
"24","VTSanghani-ExogModel"
